Repository Name,Description,Last Update Date,Language,Number of Stars,Tags,Url
awesome-nodejs, Delightful Node.js packages and resources,2017-06-23T22:51:26Z,,17.6k,"javascript,nodejs,list,awesome,node,awesome-list",https://github.com/sindresorhus/awesome-nodejs
models,Models built with TensorFlow,2017-06-23T23:19:11Z,Python,17.6k,,https://github.com/tensorflow/models
gitflow,Git extensions to provide high-level repository operations for Vincent Driessen's branching model.,2017-05-12T06:58:43Z,Shell,17.6k,,https://github.com/nvie/gitflow
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,2017-06-21T01:11:07Z,Python,17.5k,"interview-questions,python,design,development,programming,web,system,design-patterns,interview,web-application,webapp,interview-practice,design-system",https://github.com/donnemartin/system-design-primer
hyper,A terminal built on web technologies,2017-06-23T23:37:59Z,JavaScript,17.5k,"react,javascript,css,html,terminal,hyperterm,terminal-emulators",https://github.com/zeit/hyper
awesome-vue,A curated list of awesome things related to Vue.js,2017-06-23T23:50:25Z,,17.4k,,https://github.com/vuejs/awesome-vue
ReactiveCocoa,Streams of values over time,2017-06-21T02:49:58Z,Swift,17.4k,"reactiveswift,swift,reactivecocoa",https://github.com/ReactiveCocoa/ReactiveCocoa
serverless,"Serverless Framework  Build web, mobile and IoT applications with serverless architectures using AWS Lambda, Azure F",2017-06-24T16:55:09Z,JavaScript,17.3k,"aws-lambda,serverless-framework,serverless-architectures,aws,serverless,azure-functions,google-cloud-functions,ibm-openwhisk",https://github.com/serverless/serverless
sails,Realtime MVC Framework for Node.js,2017-06-22T12:50:20Z,JavaScript,17.3k,,https://github.com/balderdashy/sails
devise,Flexible authentication solution for Rails with Warden.,2017-06-24T15:37:01Z,Ruby,17.2k,"rails,devise,ruby,plataformatec,authentication",https://github.com/plataformatec/devise
design-patterns-for-humans,Design Patterns for Humans - An ultra-simplified explanation,2017-05-16T07:11:29Z,,17.2k,,https://github.com/kamranahmedse/design-patterns-for-humans
skrollr,Stand-alone parallax scrolling library for mobile (Android + iOS) and desktop. No jQuery. Just plain JavaScript (and ,2016-08-10T13:19:54Z,HTML,17.2k,,https://github.com/Prinzhorn/skrollr
og-aws, Amazon Web Services  a practical guide,2017-06-24T20:00:36Z,Shell,17.1k,,https://github.com/open-guides/og-aws
guava,Google Core Libraries for Java,2017-06-23T19:50:20Z,Java,17.1k,,https://github.com/google/guava
awesome-osx-command-line,Use your OS X terminal shell to do awesome things.,2017-06-05T22:48:08Z,,17k,"macos,shell,list,awesome,terminal,macosx,awesome-list",https://github.com/herrbischoff/awesome-osx-command-line
AdminLTE,AdminLTE - Free Premium Admin control Panel Theme Based On Bootstrap 3.x,2017-06-24T15:03:12Z,HTML,17k,,https://github.com/almasaeed2010/AdminLTE
the-swift-programming-language-in-chinese, Apple  Swift The Swift Programming Language,2017-05-31T04:16:03Z,CSS,17k,,https://github.com/numbbbbb/the-swift-programming-language-in-chinese
pure,"A set of small, responsive CSS modules that you can use in every web project.",2017-06-24T00:04:56Z,HTML,17k,"html,css,pure",https://github.com/yahoo/pure
dotfiles," .files, including ~/.macos  sensible hacker defaults for macOS",2017-06-13T03:27:31Z,Shell,16.9k,"macos,dotfiles,bash",https://github.com/mathiasbynens/dotfiles
Hover,"A collection of CSS3 powered hover effects to be applied to links, buttons, logos, SVG, featured images and so on. Ea",2017-04-06T16:27:26Z,CSS,16.9k,"css,css-effects,sass",https://github.com/IanLunn/Hover
keras,"Deep Learning library for Python. Runs on TensorFlow, Theano, or CNTK.",2017-06-24T17:51:46Z,Python,16.9k,"theano,tensorflow,deep-learning,data-science,machine-learning,neural-networks",https://github.com/fchollet/keras
hexo,"A fast, simple & powerful blog framework, powered by Node.js.",2017-06-22T18:57:59Z,JavaScript,16.8k,"javascript,hexo,nodejs,static-site-generator",https://github.com/hexojs/hexo
butterknife,Bind Android views and callbacks to fields and methods.,2017-06-24T14:25:19Z,Java,16.7k,,https://github.com/JakeWharton/butterknife
video.js,Video.js - open source HTML5 & Flash video player,2017-06-23T21:47:32Z,JavaScript,16.7k,"javascript,video,player,html,flash,html5,hls,html5-video,dash,videojs,html5-audio",https://github.com/videojs/video.js
web-starter-kit,Web Starter Kit - a workflow for multi-device websites,2017-06-08T11:49:39Z,HTML,16.6k,,https://github.com/google/web-starter-kit
security-guide-for-developers,Security Guide for Developers (),2017-03-29T16:53:39Z,,16.6k,"security-checklist,security-book",https://github.com/FallibleInc/security-guide-for-developers
fastlane, The easiest way to automate building and releasing your iOS and Android apps,2017-06-24T20:06:06Z,Ruby,16.6k,"fastlane,android,ios,screenshots,automation,mobile,deployment,apps",https://github.com/fastlane/fastlane
build-web-application-with-golang,A golang ebook intro how to build a web with golang,2017-06-19T16:30:22Z,Go,16.5k,,https://github.com/astaxie/build-web-application-with-golang
grafana,"The tool for beautiful monitoring and metric analytics & dashboards for Graphite, InfluxDB & Prometheus & More",2017-06-24T17:02:48Z,Go,16.5k,"elasticsearch,go,graphite,prometheus,grafana,influxdb,monitoring,analytics,metrics,alerting",https://github.com/grafana/grafana
RxJS,The Reactive Extensions for JavaScript,2017-06-15T18:49:34Z,JavaScript,16.5k,,https://github.com/Reactive-Extensions/RxJS
bulma,Modern CSS framework based on Flexbox,2017-06-21T14:05:03Z,CSS,16.5k,"flexbox,css,html,design,css-framework",https://github.com/jgthms/bulma
huginn,Create agents that monitor and act on your behalf. Your agents are standing by!,2017-06-15T07:27:52Z,Ruby,16.4k,,https://github.com/huginn/huginn
hammer.js,A javascript library for multi-touch gestures :// You can touch this,2017-06-22T15:08:14Z,JavaScript,16.4k,,https://github.com/hammerjs/hammer.js
opencv,Open Source Computer Vision Library,2017-06-24T08:38:33Z,C++,16.4k,"opencv,c-plus-plus,computer-vision,deep-learning,image-processing",https://github.com/opencv/opencv
MPAndroidChart,"A powerful Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts ",2017-06-23T00:02:59Z,Java,16.4k,,https://github.com/PhilJay/MPAndroidChart
syncthing,Open Source Continuous File Synchronization,2017-06-21T05:45:24Z,Go,16.4k,"go,synchronization,peer-to-peer,p2p",https://github.com/syncthing/syncthing
awesome-selfhosted,This is a list of Free Software network services and web applications which can be hosted locally. Selfhosting is the,2017-06-23T13:18:25Z,JavaScript,16.3k,"awesome,cloud,privacy,selfhosted,hosting,self-hosted,awesome-list",https://github.com/Kickball/awesome-selfhosted
upterm,A terminal emulator for the 21st century.,2017-06-20T06:54:43Z,TypeScript,16.3k,"console,terminal,tty,pty,terminal-emulators",https://github.com/railsware/upterm
glide,An image loading and caching library for Android focused on smooth scrolling,2017-06-24T13:00:33Z,Java,16.1k,,https://github.com/bumptech/glide
dragula, Drag and drop so simple it hurts,2017-06-19T18:12:27Z,JavaScript,16.1k,"javascript,front-end,component,vanilla,drag-and-drop,drag-drop,dragging",https://github.com/bevacqua/dragula
sweetalert,"A beautiful replacement for JavaScript's ""alert""",2017-06-21T07:23:00Z,JavaScript,16.1k,"javascript,sweetalert,alert,ui,modal,dialog,popup",https://github.com/t4t5/sweetalert
koa,Expressive middleware for node.js using ES2017 async functions,2017-06-20T17:01:19Z,JavaScript,16.1k,koa,https://github.com/koajs/koa
free-for-dev,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",2017-06-20T15:10:57Z,,15.9k,,https://github.com/ripienaar/free-for-dev
request, Simplified HTTP request client.,2017-06-08T21:43:57Z,JavaScript,15.9k,,https://github.com/request/request
GPUImage,An open source iOS framework for GPU-based image and video processing,2017-06-14T10:19:49Z,Objective-C,15.9k,,https://github.com/BradLarson/GPUImage
Best-websites-a-programmer-should-visit, Some useful websites for programmers.,2017-06-24T19:04:22Z,,15.7k,"programmer,links,books,cs,sites",https://github.com/sdmg15/Best-websites-a-programmer-should-visit
awesome-php,"A curated list of amazingly awesome PHP libraries, resources and shiny things.",2017-06-23T14:49:46Z,,15.7k,"php-framework,php-installation,php-library,php-applications,php,php7,awesome-list",https://github.com/ziadoz/awesome-php
500lines,500 Lines or Less,2017-05-30T12:34:20Z,JavaScript,15.7k,,https://github.com/aosabook/500lines
leakcanary,A memory leak detection library for Android and Java.,2017-06-23T21:39:41Z,Java,15.7k,,https://github.com/square/leakcanary
